loan_id,reporting_month,corruption_type
LN107473,2022-07,DATE_INVALID
LN102761,2025-07,DATE_INVALID
LN106035,2023-01,STATUS_INCONSISTENT
LN106153,2023-12,STATUS_INCONSISTENT
LN100956,2025-05,STALE_UPDATE
LN102603,2024-02,STALE_UPDATE
LN103260,2023-11,STATUS_INCONSISTENT
LN103518,2024-12,BALANCE_MISMATCH
LN106288,2022-09,BALANCE_MISMATCH
LN104389,2023-12,STATUS_INCONSISTENT
LN102443,2023-11,DUPLICATE_RECORD
LN101253,2025-02,DOC_GAP
LN108342,2025-06,STATUS_INCONSISTENT
LN101201,2023-03,BALANCE_MISMATCH
LN107190,2024-02,DOC_GAP
LN108760,2025-09,STATUS_INCONSISTENT
LN106879,2024-03,DATE_INVALID
LN104127,2025-08,DATE_INVALID
LN105006,2025-01,STALE_UPDATE
LN105102,2023-05,BALANCE_MISMATCH
LN101159,2023-11,STATUS_INCONSISTENT
LN100436,2023-10,BALANCE_MISMATCH
LN107303,2024-09,STATUS_INCONSISTENT
LN106514,2024-10,STATUS_INCONSISTENT
LN100518,2023-10,STATUS_INCONSISTENT
LN106468,2024-03,BALANCE_MISMATCH
LN107541,2025-10,DOC_GAP
LN102932,2024-02,DOC_GAP
LN104212,2025-07,STALE_UPDATE
LN100382,2025-04,STATUS_INCONSISTENT
LN101439,2025-05,STATUS_INCONSISTENT
LN107160,2024-03,DUPLICATE_RECORD
LN107059,2024-08,DOC_GAP
LN101703,2025-05,DUPLICATE_RECORD
LN103624,2024-12,DUPLICATE_RECORD
LN101790,2024-02,BALANCE_MISMATCH
LN107077,2022-08,DUPLICATE_RECORD
LN101853,2024-03,DATE_INVALID
LN101826,2023-03,BALANCE_MISMATCH
LN101805,2022-07,STALE_UPDATE
LN105405,2023-06,STATUS_INCONSISTENT
LN104643,2025-02,STATUS_INCONSISTENT
LN107482,2024-09,STATUS_INCONSISTENT
LN103154,2023-01,STATUS_INCONSISTENT
LN101905,2024-12,STATUS_INCONSISTENT
LN101364,2025-02,DATE_INVALID
LN100951,2025-05,DOC_GAP
LN106485,2025-08,DOC_GAP
LN105736,2023-11,DOC_GAP
LN101676,2025-06,BALANCE_MISMATCH
LN102552,2024-01,DATE_INVALID
LN105571,2023-12,STATUS_INCONSISTENT
LN108662,2025-06,BALANCE_MISMATCH
LN108107,2023-04,DATE_INVALID
LN105815,2023-11,DATE_INVALID
LN100076,2023-05,STATUS_INCONSISTENT
LN107139,2022-11,DOC_GAP
LN103496,2023-12,STALE_UPDATE
LN108377,2023-06,STATUS_INCONSISTENT
LN106485,2024-11,DOC_GAP
LN105961,2025-11,DATE_INVALID
LN103184,2025-01,BALANCE_MISMATCH
LN106319,2024-03,DOC_GAP
LN101844,2025-11,BALANCE_MISMATCH
LN105693,2022-08,STALE_UPDATE
LN106998,2024-02,STATUS_INCONSISTENT
LN101108,2025-04,DATE_INVALID
LN103664,2024-01,STALE_UPDATE
