loan_id,update_month,is_true_conflict
LN103891,2025-05,0
LN102722,2023-11,0
LN100663,2025-07,0
LN101278,2021-09,0
LN107494,2025-06,1
LN101033,2024-12,1
LN100562,2024-11,0
LN101946,2022-11,0
LN107697,2025-12,0
LN106928,2024-05,0
LN108890,2025-04,0
LN107538,2024-11,0
LN108171,2025-11,0
LN102939,2024-03,0
LN108274,2023-07,0
LN102155,2023-04,1
LN107645,2024-08,0
LN104535,2024-08,0
LN108611,2022-04,0
LN107601,2022-07,0
LN106249,2023-02,0
LN100664,2025-11,0
LN105703,2024-11,1
LN105815,2024-05,1
LN107415,2025-02,0
LN103974,2023-05,0
LN104782,2024-01,1
LN108706,2025-04,0
LN102632,2024-10,0
LN106997,2024-04,0
LN105805,2025-11,0
LN107624,2024-09,1
LN103888,2023-05,0
LN104221,2025-08,1
LN103447,2023-08,0
LN104260,2023-05,0
LN102568,2024-06,0
LN105673,2023-12,1
LN108618,2023-11,0
LN101701,2022-09,0
LN106784,2025-09,0
LN105547,2025-03,0
LN102161,2023-11,0
LN108634,2025-02,0
LN102517,2024-05,0
LN105320,2023-08,1
LN106779,2023-01,0
LN103130,2023-06,0
LN102043,2024-08,0
LN105928,2023-04,0
LN107757,2021-10,0
LN101631,2025-07,0
LN108998,2024-04,0
LN103623,2023-10,0
LN100718,2024-03,0
LN101918,2024-05,1
LN108976,2025-05,1
LN101668,2024-02,1
LN104274,2021-08,0
LN105229,2024-06,0
LN101895,2025-08,0
LN104006,2022-09,0
LN102887,2024-05,0
LN103586,2024-11,0
LN108435,2023-10,0
LN102964,2025-10,0
LN101719,2023-09,0
LN107548,2025-05,1
LN107303,2024-09,1
LN104343,2024-02,1
LN106535,2024-04,0
LN108111,2025-10,0
LN102345,2022-06,1
LN105721,2024-07,0
LN104693,2024-07,0
LN106463,2024-08,0
LN100236,2025-10,0
LN100093,2024-06,1
LN105051,2024-01,0
LN106892,2024-11,0
LN106402,2025-10,0
LN107841,2025-04,0
LN106010,2025-09,0
LN101336,2024-09,0
LN102372,2022-07,0
LN105837,2022-09,0
LN103622,2023-03,0
LN105285,2024-05,0
LN108232,2025-01,1
LN105535,2025-02,1
LN106371,2023-11,0
LN105712,2023-10,0
LN106122,2025-11,1
LN100957,2025-10,1
LN106836,2025-01,0
LN104306,2025-08,0
LN105879,2023-11,0
LN101208,2025-10,1
LN103686,2023-02,0
LN100182,2025-10,0
LN104000,2025-11,0
LN104673,2025-01,0
LN105538,2025-04,0
LN102834,2025-07,1
LN104223,2023-06,0
LN104604,2023-04,0
LN107213,2023-07,0
LN100426,2024-07,1
LN108109,2024-11,1
LN101444,2022-03,0
LN106693,2025-06,1
LN105801,2024-08,0
LN106471,2023-01,0
LN102411,2021-09,0
LN103715,2023-10,0
LN106076,2023-03,0
LN104105,2024-03,0
LN106351,2021-08,1
LN108817,2024-07,0
LN106109,2024-12,1
LN106857,2025-08,0
LN101863,2023-10,0
LN108749,2023-09,1
LN105138,2024-04,0
LN105471,2024-03,0
LN101288,2022-05,0
LN104086,2025-07,0
LN104649,2024-07,0
LN106048,2022-09,1
LN104661,2025-05,1
LN100991,2025-02,0
LN101098,2024-10,0
LN104749,2024-09,0
LN102690,2024-08,0
LN108865,2024-05,0
LN103335,2023-05,0
LN103866,2024-03,0
LN101389,2025-01,0
LN103249,2024-01,0
LN102495,2025-02,1
LN107615,2025-04,1
LN105309,2023-05,1
LN100571,2024-07,1
LN104216,2025-11,1
LN106991,2025-05,0
LN107078,2023-10,1
LN104979,2025-12,0
