loan_id,origination_month,original_balance,interest_rate,original_term_months,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,vintage
LN100000,2021-10,179300.0,5.147,360,<620,60-75,35-43,PA,REFINANCE,OWNER,SFR,DeltaHome,2021
LN100001,2024-03,199600.0,6.578,360,680-739,<=60,20-35,CA,PURCHASE,OWNER,CONDO,AlphaServ,2024
LN100002,2023-10,185500.0,6.058,360,740-779,75-85,20-35,CA,PURCHASE,OWNER,TOWNHOUSE,CasaMortgage,2023
LN100003,2023-01,463900.0,5.794,360,680-739,60-75,20-35,NC,PURCHASE,OWNER,CONDO,AlphaServ,2023
LN100004,2023-01,254200.0,6.465,360,620-679,85-95,20-35,OH,PURCHASE,OWNER,SFR,CasaMortgage,2023
LN100005,2024-07,201700.0,6.989,360,680-739,85-95,35-43,GA,PURCHASE,OWNER,CONDO,AlphaServ,2024
LN100006,2021-10,267800.0,3.866,360,680-739,<=60,35-43,FL,PURCHASE,OWNER,CONDO,BetaLoan,2021
LN100007,2023-12,344800.0,6.957,360,620-679,75-85,20-35,AZ,REFINANCE,OWNER,SFR,CasaMortgage,2023
LN100008,2022-03,218600.0,3.927,240,740-779,>95,20-35,OH,PURCHASE,OWNER,TOWNHOUSE,BetaLoan,2022
LN100009,2021-10,383000.0,4.048,360,680-739,60-75,20-35,OH,PURCHASE,OWNER,SFR,AlphaServ,2021
LN100010,2023-05,144100.0,5.97,360,740-779,75-85,20-35,WA,PURCHASE,OWNER,TOWNHOUSE,CasaMortgage,2023
LN100011,2024-11,432400.0,6.309,360,680-739,75-85,35-43,MI,PURCHASE,OWNER,SFR,CasaMortgage,2024
LN100012,2024-01,254200.0,6.192,360,740-779,60-75,35-43,NC,PURCHASE,OWNER,SFR,CasaMortgage,2024
LN100013,2024-02,249800.0,7.379,360,<620,85-95,35-43,PA,CASHOUT_REFI,OWNER,CONDO,DeltaHome,2024
LN100014,2024-01,186900.0,7.508,360,<620,<=60,20-35,WA,PURCHASE,OWNER,SFR,AlphaServ,2024
LN100015,2024-04,146900.0,6.927,360,620-679,60-75,35-43,PA,CASHOUT_REFI,SECOND_HOME,CONDO,CasaMortgage,2024
