loan_id,update_month,reported_balance,reported_status,reported_interest_rate,update_source,update_timestamp
LN103891,2025-05,291659.72,CURRENT,6.806,SERVICER_PORTAL,2025-04-05
LN102722,2023-11,168211.96,CURRENT,4.331,MONTHLY_TAPE,2023-08-01
LN100663,2025-07,133797.25,CURRENT,4.473,MONTHLY_TAPE,2025-05-18
LN101278,2021-09,136957.45,CURRENT,3.569,MONTHLY_TAPE,2021-09-21
LN107494,2025-06,215758.07,DPD60,7.462,MONTHLY_TAPE,2025-03-23
LN101033,2024-12,317458.68,DPD30,5.689,SERVICER_PORTAL,2024-12-12
LN100562,2024-11,273227.68,CURRENT,5.923,SERVICER_PORTAL,2024-09-13
LN101946,2022-11,169411.84,CURRENT,3.818,MONTHLY_TAPE,2022-08-08
LN107697,2025-12,195126.71,DPD60,4.79,SERVICER_PORTAL,2025-12-26
LN106928,2024-05,233462.3,CURRENT,7.584,MONTHLY_TAPE,2024-05-10
LN108890,2025-04,240462.89,CURRENT,6.196,SERVICER_PORTAL,2025-03-04
LN107538,2024-11,230799.8,CURRENT,4.721,SERVICER_PORTAL,2024-09-05
LN108171,2025-11,533513.9,CURRENT,5.883,SERVICER_PORTAL,2025-07-02
LN102939,2024-03,122461.19,CURRENT,4.127,SERVICER_PORTAL,2023-12-13
LN108274,2023-07,166477.61,CURRENT,4.332,MONTHLY_TAPE,2023-04-06
LN102155,2023-04,181931.75,CURRENT,5.978,MANUAL_ENTRY,2023-03-24
LN107645,2024-08,246908.66,CURRENT,7.156,SERVICER_PORTAL,2024-04-25
LN104535,2024-08,362265.65,CURRENT,6.254,SERVICER_PORTAL,2024-08-23
LN108611,2022-04,523317.87,CURRENT,4.929,SERVICER_PORTAL,2022-01-10
LN107601,2022-07,258001.32,DPD90,4.108,SERVICER_PORTAL,2022-05-22
LN106249,2023-02,122578.21,CURRENT,4.699,MONTHLY_TAPE,2022-12-05
LN100664,2025-11,158187.8,CURRENT,6.401,MONTHLY_TAPE,2025-09-13
LN105703,2024-11,304759.75,CURRENT,6.178,SERVICER_PORTAL,2024-07-01
LN105815,2024-05,136898.3,CURRENT,3.768,MONTHLY_TAPE,2024-04-04
LN107415,2025-02,199651.36,CURRENT,6.036,MONTHLY_TAPE,2024-11-22
LN103974,2023-05,276810.8,CURRENT,4.201,MONTHLY_TAPE,2023-03-08
LN104782,2024-01,329799.91,CURRENT,4.857,MONTHLY_TAPE,2023-09-18
LN108706,2025-04,145235.67,CURRENT,6.528,MONTHLY_TAPE,2025-02-05
LN102632,2024-10,585906.63,CURRENT,7.297,SERVICER_PORTAL,2024-09-04
LN106997,2024-04,461567.5,CURRENT,5.276,SERVICER_PORTAL,2024-04-05
LN105805,2025-11,166296.12,CURRENT,4.427,MONTHLY_TAPE,2025-07-27
LN107624,2024-09,212498.25,DPD30,5.733,MANUAL_ENTRY,2024-07-08
LN103888,2023-05,195571.33,CURRENT,4.331,SERVICER_PORTAL,2023-02-07
LN104221,2025-08,384784.57,DPD30,6.344,MONTHLY_TAPE,2025-05-04
LN103447,2023-08,250724.38,CURRENT,6.276,SERVICER_PORTAL,2023-05-01
LN104260,2023-05,219243.11,CURRENT,4.436,SERVICER_PORTAL,2023-04-05
LN102568,2024-06,318187.2,CURRENT,5.719,MONTHLY_TAPE,2024-04-20
LN105673,2023-12,502704.75,CURRENT,7.005,MANUAL_ENTRY,2023-12-04
LN108618,2023-11,202333.95,CURRENT,4.301,SERVICER_PORTAL,2023-09-21
LN101701,2022-09,214139.77,CURRENT,4.608,MONTHLY_TAPE,2022-07-02
LN106784,2025-09,266750.88,CURRENT,4.282,MANUAL_ENTRY,2025-07-19
LN105547,2025-03,185175.08,CURRENT,4.223,MONTHLY_TAPE,2024-12-20
LN102161,2023-11,209464.31,CURRENT,4.065,SERVICER_PORTAL,2023-07-20
LN108634,2025-02,294401.58,CURRENT,7.591,SERVICER_PORTAL,2025-01-15
LN102517,2024-05,263718.38,CURRENT,7.109,MANUAL_ENTRY,2024-01-26
LN105320,2023-08,319107.11,CURRENT,5.672,SERVICER_PORTAL,2023-05-12
LN106779,2023-01,651606.93,CURRENT,5.183,MONTHLY_TAPE,2022-10-06
LN103130,2023-06,207914.01,CURRENT,5.62,MONTHLY_TAPE,2023-02-10
LN102043,2024-08,133935.29,CURRENT,6.85,SERVICER_PORTAL,2024-06-21
LN105928,2023-04,253510.2,CURRENT,4.167,SERVICER_PORTAL,2023-03-27
LN107757,2021-10,228479.77,CURRENT,4.875,MANUAL_ENTRY,2021-06-10
LN101631,2025-07,189264.67,CURRENT,6.578,MONTHLY_TAPE,2025-06-05
LN108998,2024-04,485196.36,CURRENT,4.838,SERVICER_PORTAL,2024-02-23
LN103623,2023-10,462361.01,CURRENT,6.049,SERVICER_PORTAL,2023-09-23
LN100718,2024-03,170825.21,CURRENT,4.762,SERVICER_PORTAL,2024-02-08
LN101918,2024-05,187532.56,CURRENT,5.567,SERVICER_PORTAL,2024-01-21
LN108976,2025-05,208466.47,CURRENT,6.5,SERVICER_PORTAL,2025-03-14
LN101668,2024-02,195516.22,CURRENT,6.513,MONTHLY_TAPE,2023-10-16
LN104274,2021-08,186117.21,CURRENT,3.602,SERVICER_PORTAL,2021-08-02
LN105229,2024-06,221376.07,CURRENT,4.361,SERVICER_PORTAL,2024-03-23
LN101895,2025-08,275119.08,CURRENT,6.352,SERVICER_PORTAL,2025-04-10
LN104006,2022-09,197664.82,CURRENT,4.386,SERVICER_PORTAL,2022-05-11
LN102887,2024-05,197479.66,DPD60,4.699,SERVICER_PORTAL,2024-01-20
LN103586,2024-11,163844.8,CURRENT,5.523,SERVICER_PORTAL,2024-08-11
LN108435,2023-10,450805.4,CURRENT,4.263,SERVICER_PORTAL,2023-07-16
LN102964,2025-10,584712.73,CURRENT,6.357,SERVICER_PORTAL,2025-10-16
LN101719,2023-09,253818.3,CURRENT,6.15,SERVICER_PORTAL,2023-05-08
LN107548,2025-05,344770.96,CURRENT,5.607,MONTHLY_TAPE,2025-02-23
LN107303,2024-09,505612.23,DPD30,4.499,SERVICER_PORTAL,2024-08-21
LN104343,2024-02,266704.88,DPD60,4.637,MONTHLY_TAPE,2023-11-10
LN106535,2024-04,199472.63,CURRENT,5.809,SERVICER_PORTAL,2024-03-21
LN108111,2025-10,231487.09,CURRENT,6.971,MONTHLY_TAPE,2025-07-11
LN102345,2022-06,383666.86,CURRENT,5.783,SERVICER_PORTAL,2022-06-06
LN105721,2024-07,394121.62,CURRENT,5.136,MONTHLY_TAPE,2024-04-12
LN104693,2024-07,454289.13,CURRENT,6.811,SERVICER_PORTAL,2024-05-18
LN106463,2024-08,248673.51,CURRENT,3.873,MANUAL_ENTRY,2024-07-20
LN100236,2025-10,154265.6,CURRENT,5.951,SERVICER_PORTAL,2025-08-07
LN100093,2024-06,851694.3,CURRENT,6.487,SERVICER_PORTAL,2024-02-24
LN105051,2024-01,164238.29,CURRENT,4.948,MANUAL_ENTRY,2023-11-20
LN106892,2024-11,154482.5,DPD90,3.995,SERVICER_PORTAL,2024-10-19
LN106402,2025-10,696740.43,CURRENT,5.232,MONTHLY_TAPE,2025-08-22
LN107841,2025-04,272630.82,CURRENT,4.174,SERVICER_PORTAL,2025-03-19
LN106010,2025-09,543541.35,CURRENT,5.527,MONTHLY_TAPE,2025-08-27
LN101336,2024-09,357959.6,CURRENT,5.805,SERVICER_PORTAL,2024-05-11
LN102372,2022-07,199032.36,CURRENT,3.765,MONTHLY_TAPE,2022-06-12
LN105837,2022-09,161375.73,CURRENT,3.26,SERVICER_PORTAL,2022-06-03
LN103622,2023-03,261222.53,CURRENT,4.73,MONTHLY_TAPE,2022-11-09
LN105285,2024-05,422093.21,CURRENT,6.139,SERVICER_PORTAL,2024-02-16
LN108232,2025-01,286996.36,DPD30,6.646,MONTHLY_TAPE,2024-12-20
LN105535,2025-02,134218.68,CURRENT,5.869,MANUAL_ENTRY,2024-12-07
LN106371,2023-11,174311.93,CURRENT,4.4,SERVICER_PORTAL,2023-11-10
LN105712,2023-10,280396.2,CURRENT,6.951,MONTHLY_TAPE,2023-08-21
LN106122,2025-11,178654.08,CURRENT,5.536,MANUAL_ENTRY,2025-09-21
LN100957,2025-10,353047.49,CURRENT,5.679,MONTHLY_TAPE,2025-07-18
LN106836,2025-01,156281.85,CURRENT,7.233,SERVICER_PORTAL,2024-11-18
LN104306,2025-08,229643.68,CURRENT,7.203,MONTHLY_TAPE,2025-04-22
LN105879,2023-11,183676.93,CURRENT,5.06,MONTHLY_TAPE,2023-09-15
LN101208,2025-10,122747.98,DPD60,5.718,MONTHLY_TAPE,2025-06-19
LN103686,2023-02,384931.87,CURRENT,3.909,SERVICER_PORTAL,2022-11-11
LN100182,2025-10,263995.87,CURRENT,5.964,MONTHLY_TAPE,2025-09-10
LN104000,2025-11,160264.98,DPD60,5.748,MONTHLY_TAPE,2025-11-23
LN104673,2025-01,174378.49,CURRENT,7.206,MONTHLY_TAPE,2024-12-25
LN105538,2025-04,349545.16,CURRENT,6.681,MONTHLY_TAPE,2025-02-03
LN102834,2025-07,216204.39,CURRENT,5.318,MONTHLY_TAPE,2025-04-18
LN104223,2023-06,224322.57,CURRENT,5.905,MANUAL_ENTRY,2023-06-18
LN104604,2023-04,555692.19,CURRENT,4.019,SERVICER_PORTAL,2023-03-06
LN107213,2023-07,527669.37,CURRENT,4.663,SERVICER_PORTAL,2023-04-03
LN100426,2024-07,352653.19,CURRENT,6.666,SERVICER_PORTAL,2024-04-25
LN108109,2024-11,600344.46,CURRENT,6.554,SERVICER_PORTAL,2024-11-19
LN101444,2022-03,266874.08,CURRENT,5.217,SERVICER_PORTAL,2021-11-16
LN106693,2025-06,304094.79,DPD60,7.048,MONTHLY_TAPE,2025-03-16
LN105801,2024-08,376508.54,CURRENT,5.224,SERVICER_PORTAL,2024-07-12
LN106471,2023-01,461302.18,CURRENT,3.799,SERVICER_PORTAL,2022-09-16
LN102411,2021-09,257869.96,CURRENT,4.069,MONTHLY_TAPE,2021-05-06
LN103715,2023-10,391169.06,DPD30,5.66,MONTHLY_TAPE,2023-10-17
LN106076,2023-03,478155.76,CURRENT,4.466,MONTHLY_TAPE,2022-11-16
LN104105,2024-03,232247.63,CURRENT,6.136,SERVICER_PORTAL,2024-01-19
LN106351,2021-08,405787.47,CURRENT,4.422,MONTHLY_TAPE,2021-06-07
LN108817,2024-07,442896.35,CURRENT,6.986,SERVICER_PORTAL,2024-04-19
LN106109,2024-12,515820.07,CURRENT,6.652,SERVICER_PORTAL,2024-09-04
LN106857,2025-08,418853.69,CURRENT,6.292,MONTHLY_TAPE,2025-05-24
LN101863,2023-10,254495.87,CURRENT,5.743,SERVICER_PORTAL,2023-08-16
LN108749,2023-09,119118.71,CURRENT,7.257,MANUAL_ENTRY,2023-05-27
LN105138,2024-04,187543.4,CURRENT,3.746,MONTHLY_TAPE,2024-03-21
LN105471,2024-03,71958.21,CURRENT,6.589,SERVICER_PORTAL,2023-12-27
LN101288,2022-05,271160.0,CURRENT,3.655,MONTHLY_TAPE,2022-02-27
LN104086,2025-07,358196.14,CURRENT,5.693,MANUAL_ENTRY,2025-04-01
LN104649,2024-07,384400.73,CURRENT,5.491,SERVICER_PORTAL,2024-06-22
LN106048,2022-09,174872.97,CURRENT,4.327,SERVICER_PORTAL,2022-05-07
LN104661,2025-05,62994.96,CURRENT,6.189,MANUAL_ENTRY,2025-05-17
LN100991,2025-02,307928.97,CURRENT,6.291,SERVICER_PORTAL,2025-01-26
LN101098,2024-10,111877.01,CURRENT,3.586,SERVICER_PORTAL,2024-10-06
LN104749,2024-09,222585.46,CURRENT,4.895,SERVICER_PORTAL,2024-09-16
LN102690,2024-08,266710.4,CURRENT,6.321,SERVICER_PORTAL,2024-05-03
LN108865,2024-05,286136.67,CURRENT,7.036,SERVICER_PORTAL,2024-04-09
LN103335,2023-05,149191.41,CURRENT,4.44,SERVICER_PORTAL,2023-01-01
LN103866,2024-03,238677.88,CURRENT,6.716,SERVICER_PORTAL,2024-03-18
LN101389,2025-01,380480.79,CURRENT,7.397,MONTHLY_TAPE,2024-11-13
LN103249,2024-01,402565.58,CURRENT,5.323,MONTHLY_TAPE,2023-09-23
LN102495,2025-02,306544.55,CURRENT,4.226,SERVICER_PORTAL,2025-01-11
LN107615,2025-04,112278.64,DPD60,6.482,SERVICER_PORTAL,2025-02-12
LN105309,2023-05,356376.45,CURRENT,6.062,SERVICER_PORTAL,2023-05-04
LN100571,2024-07,214654.81,CURRENT,5.082,SERVICER_PORTAL,2024-06-14
LN104216,2025-11,414010.22,DPD30,7.126,SERVICER_PORTAL,2025-08-09
LN106991,2025-05,324011.76,CURRENT,7.681,SERVICER_PORTAL,2025-02-02
LN107078,2023-10,380199.87,DPD30,4.272,SERVICER_PORTAL,2023-09-23
LN104979,2025-12,371820.79,CURRENT,5.866,MONTHLY_TAPE,2025-08-07
LN101974,2025-07,171522.63,DPD90,6.857,MANUAL_ENTRY,2025-03-18
LN104247,2022-06,384622.53,CURRENT,4.115,MONTHLY_TAPE,2022-05-23
LN100732,2024-12,288772.12,CURRENT,6.216,MANUAL_ENTRY,2024-09-10
LN105997,2025-10,158862.92,CURRENT,6.307,MONTHLY_TAPE,2025-07-12
LN105655,2024-09,130572.58,CURRENT,4.748,MONTHLY_TAPE,2024-07-19
LN101509,2025-11,486936.38,CURRENT,6.138,SERVICER_PORTAL,2025-10-22
LN104873,2024-09,289087.15,DPD60,6.145,SERVICER_PORTAL,2024-09-20
LN106010,2023-05,613205.91,CURRENT,5.527,MONTHLY_TAPE,2023-04-03
LN106056,2025-01,89665.42,CURRENT,4.048,SERVICER_PORTAL,2024-12-26
LN100016,2024-12,111953.46,CURRENT,6.355,SERVICER_PORTAL,2024-11-05
LN101850,2024-09,100252.12,CURRENT,3.8,SERVICER_PORTAL,2024-06-17
LN106687,2025-07,94575.72,CURRENT,4.432,MONTHLY_TAPE,2025-07-08
LN108427,2022-01,408660.65,CURRENT,5.239,MONTHLY_TAPE,2021-09-27
LN107628,2024-05,139509.47,DPD60,7.485,MONTHLY_TAPE,2024-01-17
LN105917,2025-09,98983.52,CURRENT,5.273,SERVICER_PORTAL,2025-07-01
LN108413,2025-02,192597.41,CURRENT,4.052,MONTHLY_TAPE,2024-10-21
LN100885,2024-11,432924.59,CURRENT,6.266,SERVICER_PORTAL,2024-07-01
LN104854,2024-04,207533.35,CURRENT,3.65,MONTHLY_TAPE,2024-03-10
LN106710,2025-02,361020.87,CURRENT,4.774,MONTHLY_TAPE,2025-01-03
LN105677,2024-03,145262.63,CURRENT,5.022,MONTHLY_TAPE,2024-01-11
LN104705,2024-08,230288.2,CURRENT,4.202,SERVICER_PORTAL,2024-07-04
LN108096,2025-08,150161.97,CURRENT,4.866,SERVICER_PORTAL,2025-08-21
LN108997,2024-07,211378.75,CURRENT,6.446,SERVICER_PORTAL,2024-03-26
LN105072,2024-10,404668.02,CURRENT,3.962,SERVICER_PORTAL,2024-07-27
LN107217,2022-06,241512.73,DPD60,4.464,SERVICER_PORTAL,2022-05-14
LN107135,2024-07,227094.19,CURRENT,5.785,MONTHLY_TAPE,2024-06-24
LN106834,2024-01,279503.96,CURRENT,4.246,SERVICER_PORTAL,2023-09-06
LN106715,2025-10,458946.07,CURRENT,6.3,MONTHLY_TAPE,2025-06-19
LN100605,2025-04,215487.45,CURRENT,6.149,SERVICER_PORTAL,2025-04-16
LN108315,2023-06,532347.4,CURRENT,3.911,MANUAL_ENTRY,2023-02-08
LN103418,2021-12,268019.54,CURRENT,2.887,MANUAL_ENTRY,2021-08-13
LN100278,2023-11,255202.81,CURRENT,4.079,MONTHLY_TAPE,2023-08-10
LN105904,2023-12,0.0,PREPAID,4.831,MONTHLY_TAPE,2023-11-25
LN107126,2024-12,177786.65,CURRENT,7.035,SERVICER_PORTAL,2024-11-05
LN100958,2025-03,168456.23,DPD30,7.751,SERVICER_PORTAL,2025-02-19
LN104177,2025-01,185848.71,CURRENT,6.773,MONTHLY_TAPE,2024-09-13
LN105161,2025-07,133994.56,CURRENT,3.886,SERVICER_PORTAL,2025-07-09
LN100205,2022-07,325370.69,CURRENT,5.038,SERVICER_PORTAL,2022-04-14
LN105102,2024-09,360936.23,CURRENT,4.33,MONTHLY_TAPE,2024-05-02
LN107090,2024-04,405321.56,CURRENT,6.816,SERVICER_PORTAL,2024-03-10
LN104175,2022-10,431098.44,CURRENT,4.806,MONTHLY_TAPE,2022-07-11
LN100831,2023-02,254105.62,CURRENT,4.203,MANUAL_ENTRY,2023-02-19
LN101904,2024-06,405217.09,DPD60,5.526,SERVICER_PORTAL,2024-06-02
LN108393,2025-03,451300.74,CURRENT,4.94,MANUAL_ENTRY,2025-02-19
LN108195,2024-03,204717.11,CURRENT,6.292,MONTHLY_TAPE,2024-01-14
LN104574,2024-07,339669.86,CURRENT,6.284,MONTHLY_TAPE,2024-05-20
LN101194,2024-07,309492.71,CURRENT,6.286,MONTHLY_TAPE,2024-06-06
LN107708,2025-11,111114.55,DPD30,6.362,MANUAL_ENTRY,2025-08-04
LN104525,2024-11,324305.64,CURRENT,5.851,SERVICER_PORTAL,2024-08-10
