loan_id,reporting_month,anomaly_score,exception_required_prob,exception_type_pred,rules_fired,trust_score,n_conflicts,iso_percentile
LN100000,2021-10,0.09517,0.00063,NONE,,1.0,0.0,0.6328
LN100000,2021-11,0.56029,0.99851,STALE_UPDATE,R006,0.73,0.0,0.4726
LN100000,2021-12,0.05059,0.00064,NONE,,1.0,0.0,0.3355
LN100000,2022-01,0.03829,0.0005,NONE,,1.0,0.0,0.2539
LN100000,2022-02,0.03498,0.00066,NONE,,1.0,0.0,0.2314
LN100000,2022-03,0.03282,0.00048,NONE,,1.0,0.0,0.2175
LN100000,2022-04,0.03078,0.00048,NONE,,1.0,0.0,0.2039
LN100000,2022-05,0.03281,0.00061,NONE,,1.0,0.0,0.2171
LN100000,2022-06,0.02548,0.00061,NONE,,1.0,0.0,0.1682
LN100000,2022-07,0.62946,0.99851,STATUS_INCONSISTENT,R004,0.64,0.0,0.9337
LN100000,2022-08,0.01633,0.00065,NONE,,1.0,0.0,0.1072
LN100000,2022-09,0.02116,0.0007,NONE,,1.0,0.0,0.1392
LN100000,2022-10,0.02835,0.00072,NONE,,1.0,0.0,0.1871
LN100000,2022-11,0.20572,0.21633,NONE,R007,0.88,0.0,0.1946
LN100000,2022-12,0.02782,0.00103,NONE,,1.0,0.0,0.1827
LN100000,2023-01,0.03233,0.00068,NONE,,1.0,0.0,0.2137
LN100000,2023-02,0.62336,0.99851,BALANCE_MISMATCH,R001,0.64,0.0,0.8931
LN100000,2023-03,0.5313,0.99851,SOURCE_CONFLICT,,0.75,1.0,0.2793
LN100000,2023-04,0.04312,0.00045,NONE,,1.0,0.0,0.2863
LN100000,2023-05,0.04677,0.00045,NONE,,1.0,0.0,0.3106
LN100000,2023-06,0.04974,0.00149,NONE,,1.0,0.0,0.3276
LN100000,2023-07,0.05534,0.00055,NONE,,1.0,0.0,0.3675
LN100000,2023-08,0.05558,0.00056,NONE,,1.0,0.0,0.369
LN100000,2023-09,0.06967,0.00079,NONE,,1.0,0.0,0.4623
LN100000,2023-10,0.07375,0.00052,NONE,,1.0,0.0,0.4903
LN100000,2023-11,0.08049,0.00059,NONE,,1.0,0.0,0.535
LN100000,2023-12,0.0859,0.00043,NONE,,1.0,0.0,0.5715
LN100000,2024-01,0.21888,0.01618,NONE,R007,0.88,0.0,0.816
LN100000,2024-02,0.62382,0.99851,SOURCE_CONFLICT,,0.65,1.0,0.8961
LN100000,2024-03,0.12706,0.00062,NONE,,1.0,0.0,0.8454
LN100000,2024-04,0.13819,0.00029,NONE,,1.0,0.0,0.9205
LN100000,2024-05,0.14508,0.0003,NONE,,1.0,0.0,0.9664
LN100000,2024-06,0.7283,0.99851,DATE_INVALID,"R003,R006",0.37,0.0,0.9926
LN100001,2024-03,0.09912,0.00043,NONE,,1.0,0.0,0.6597
LN100001,2024-04,0.08172,0.00043,NONE,,1.0,0.0,0.5437
LN100001,2024-05,0.07177,0.00043,NONE,,1.0,0.0,0.4773
LN100001,2024-06,0.05667,0.00043,NONE,,1.0,0.0,0.3766
LN100001,2024-07,0.05149,0.00044,NONE,,1.0,0.0,0.3421
LN100001,2024-08,0.05309,0.00049,NONE,,1.0,0.0,0.3526
LN100001,2024-09,0.15338,0.02449,NONE,R007,0.88,0.0,0.3572
LN100001,2024-10,0.0526,0.00049,NONE,,1.0,0.0,0.3494
LN100001,2024-11,0.15644,0.01599,NONE,R007,0.88,0.0,0.4003
LN100001,2024-12,0.0559,0.00051,NONE,,1.0,0.0,0.3713
LN100001,2025-01,0.06182,0.00059,NONE,,1.0,0.0,0.4105
LN100001,2025-02,0.0688,0.00058,NONE,,1.0,0.0,0.4571
LN100001,2025-03,0.07232,0.00058,NONE,,1.0,0.0,0.4805
LN100001,2025-04,0.07943,0.0006,NONE,,1.0,0.0,0.5279
LN100001,2025-05,0.0889,0.00058,NONE,,1.0,0.0,0.5911
LN100001,2025-06,0.09643,0.00046,NONE,,1.0,0.0,0.6416
LN100002,2023-10,0.07869,0.0005,NONE,,1.0,0.0,0.5233
LN100002,2023-11,0.06016,0.0005,NONE,,1.0,0.0,0.3998
LN100002,2023-12,0.04744,0.00067,NONE,,1.0,0.0,0.3145
