reporting_month,mean_trust,pct_low_trust
2021-07,0.962,2.451
2021-08,0.961,0.941
2021-09,0.962,1.395
2021-10,0.966,1.653
2021-11,0.957,2.047
2021-12,0.961,1.385
2022-01,0.958,2.03
2022-02,0.96,1.712
2022-03,0.958,1.74
2022-04,0.961,1.764
2022-05,0.958,1.974
2022-06,0.951,2.281
2022-07,0.961,2.144
2022-08,0.959,1.445
2022-09,0.958,1.647
2022-10,0.962,1.232
2022-11,0.957,2.613
2022-12,0.96,2.281
2023-01,0.957,1.939
2023-02,0.961,1.961
2023-03,0.96,1.949
2023-04,0.957,2.058
2023-05,0.959,1.995
2023-06,0.958,2.115
2023-07,0.96,1.836
2023-08,0.958,1.677
2023-09,0.96,1.791
2023-10,0.96,1.699
2023-11,0.958,1.937
2023-12,0.961,1.483
2024-01,0.96,1.739
2024-02,0.962,1.636
2024-03,0.959,1.855
2024-04,0.959,1.881
2024-05,0.959,1.771
2024-06,0.961,1.565
2024-07,0.957,2.381
2024-08,0.958,1.987
2024-09,0.957,1.779
2024-10,0.959,2.055
2024-11,0.957,1.922
2024-12,0.96,1.857
2025-01,0.957,1.988
2025-02,0.957,2.053
2025-03,0.959,1.803
2025-04,0.962,1.706
2025-05,0.961,1.782
2025-06,0.957,1.9
