column,dtype,n,missing_pct,n_unique,top_values,min,p01,p25,median,p75,p99,max,mean,std,pct_negative
loan_id,str,227446,0.0,9000,LN105629:50; LN106917:50; LN100232:49; LN101174:49; LN101621:49,,,,,,,,,,
month_index,int64,227446,0.0,48,,0.0,4.0,22.0,32.0,40.0,47.0,47.0,30.4043,11.4409,0.0
reporting_month,str,227446,0.0,48,2024-12:7832; 2025-01:7782; 2024-11:7692; 2025-02:7689; 2025-03:7609,,,,,,,,,,
origination_month,str,227446,0.0,42,2022-01:8914; 2021-09:8639; 2021-11:8606; 2021-08:8550; 2021-12:8349,,,,,,,,,,
loan_age_months,int64,227446,0.0,59,,-11.0,0.0,6.0,13.0,22.0,42.0,47.0,14.8665,10.9795,0.259
remaining_term_months,int64,227446,0.0,144,,133.0,148.0,326.0,343.0,353.0,360.0,360.0,315.0456,63.726,0.0
original_balance,float64,227446,0.0,3950,,44400.0,91800.0,189600.0,258800.0,352000.0,711200.0,1264700.0,286850.5887,134496.5621,0.0
current_balance,float64,227446,0.0,211732,,-910067.3,76873.682,183852.8225,251974.82,344344.925,735145.7599999994,90647774.0,348075.366,1548895.169,0.251
interest_rate,float64,227446,0.0,3594,,3.091,3.498,4.384,5.267,6.193,7.508,8.023,5.3121,1.0607,0.0
credit_score_band,str,227446,0.0,5,680-739:67570; 740-779:60120; 620-679:42444; 780+:38781; <620:18531,,,,,,,,,,
ltv_band,str,227446,0.0,5,75-85:63989; 85-95:55224; 60-75:53784; <=60:32635; >95:21814,,,,,,,,,,
dti_band,str,227446,0.0,4,20-35:95625; 35-43:63464; <=20:41428; >43:26929,,,,,,,,,,
state,str,227446,0.0,12,CA:35919; TX:28064; FL:22227; NY:19092; GA:16556,,,,,,,,,,
loan_purpose,str,227446,0.0,3,PURCHASE:124175; REFINANCE:68444; CASHOUT_REFI:34827,,,,,,,,,,
occupancy_type,str,227446,0.0,3,OWNER:186611; INVESTOR:23129; SECOND_HOME:17706,,,,,,,,,,
property_type,str,227446,0.0,4,SFR:157818; CONDO:35314; TOWNHOUSE:22870; MULTI_2_4:11444,,,,,,,,,,
servicer_name,str,227446,0.0,5,AlphaServ:68829; BetaLoan:55863; CasaMortgage:46438; DeltaHome:33000; EagleTrust:23316,,,,,,,,,,
current_status,str,227446,0.0,6,CURRENT:216353; DPD30:3763; DPD90:2968; DPD60:2579; PREPAID:974,,,,,,,,,,
days_past_due,int64,227446,0.0,122,,0.0,0.0,0.0,0.0,0.0,119.0,180.0,4.2911,20.6428,0.0
modification_flag,int64,227446,0.0,2,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0036,0.0597,0.0
prepayment_flag,int64,227446,0.0,2,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0043,0.0653,0.0
default_flag,int64,227446,0.0,2,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0036,0.0595,0.0
loss_severity_band,str,227446,99.644,4,10-25:324; 25-40:215; <10:195; >40:75,,,,,,,,,,
last_updated_at,str,227446,0.0,956,2025-01-02:1329; 2024-12-05:1325; 2024-11-06:1322; 2025-03-02:1320; 2025-01-06:1312,,,,,,,,,,
source_system,str,227446,0.0,3,CORE_SVC:136541; LEGACY_BATCH:56467; API_FEED:34438,,,,,,,,,,
document_status,str,227446,0.0,4,COMPLETE:194753; PARTIAL:18012; MISSING_NOTE:7420; PENDING_REVIEW:7261,,,,,,,,,,
next_3m_delinquency_flag,int64,227446,0.0,2,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0698,0.2548,0.0
next_6m_delinquency_flag,int64,227446,0.0,2,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1113,0.3145,0.0
next_12m_default_flag,int64,227446,0.0,2,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0532,0.2245,0.0
next_12m_prepayment_flag,int64,227446,0.0,2,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0548,0.2276,0.0
next_state,str,227446,0.0,6,CURRENT:214009; DPD30:3926; DPD90:3145; DPD60:2708; PREPAID:1994,,,,,,,,,,
exception_required,int64,227446,0.0,2,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0909,0.2874,0.0
exception_type,str,227446,0.0,8,NONE:206780; SOURCE_CONFLICT:11956; BALANCE_MISMATCH:1893; STATUS_INCONSISTENT:1770; DUPLICATE_RECORD:1458,,,,,,,,,,
