kind,loan_id,prob,actual,trust_score,loan_age_months,n_delinq_last_12m,days_past_due
FALSE_NEGATIVE,LN104617,0.0076,1,1.0,12,0.0,0
FALSE_NEGATIVE,LN100768,0.0076,1,1.0,32,0.0,0
FALSE_NEGATIVE,LN107309,0.0076,1,1.0,23,0.0,0
FALSE_NEGATIVE,LN100688,0.0076,1,1.0,23,3.0,0
FALSE_NEGATIVE,LN103857,0.0076,1,0.37,0,0.0,0
FALSE_NEGATIVE,LN105737,0.0076,1,1.0,0,0.0,0
FALSE_NEGATIVE,LN102697,0.0076,1,1.0,24,0.0,0
FALSE_NEGATIVE,LN102034,0.0076,1,1.0,0,0.0,0
FALSE_NEGATIVE,LN100531,0.0076,1,0.65,30,0.0,0
FALSE_NEGATIVE,LN101430,0.0076,1,1.0,17,2.0,0
FALSE_POSITIVE,LN101822,0.7692,0,1.0,26,1.0,78
FALSE_POSITIVE,LN108003,0.7692,0,1.0,24,0.0,44
FALSE_POSITIVE,LN102107,0.5764,0,1.0,36,3.0,82
FALSE_POSITIVE,LN100356,0.5764,0,1.0,32,3.0,126
FALSE_POSITIVE,LN102230,0.5764,0,1.0,10,1.0,45
FALSE_POSITIVE,LN105851,0.5764,0,1.0,12,0.0,53
FALSE_POSITIVE,LN105850,0.5764,0,1.0,34,0.0,51
FALSE_POSITIVE,LN100364,0.5764,0,1.0,32,0.0,34
FALSE_POSITIVE,LN107318,0.5764,0,1.0,17,6.0,77
FALSE_POSITIVE,LN103681,0.5764,0,1.0,35,0.0,50
