loan_id,reporting_month,prob_default_12m,actual,trust_score,top_drivers
LN100356,2024-09,0.5764,0,1.0,is_delinq_now=1 (+0.819); credit_score_band=680-739 (+0.108); pct_term_elapsed=0.08888888888888889 (+0.090); loan_purpose=CASHOUT_REFI (-0.081); loan_age_months=32 (+0.047)
LN100364,2024-07,0.5764,0,1.0,is_delinq_now=1 (+0.846); rate_spread_vs_month=-1.770263850027979 (+0.092); pct_term_elapsed=0.08888888888888889 (+0.060); occupancy_type=SECOND_HOME (-0.042); credit_score_band=740-779 (+0.042)
LN100531,2024-07,0.0076,1,0.65,credit_score_band=780+ (-0.539); interest_rate=3.988 (-0.088); state=PA (-0.062); pct_term_elapsed=0.08333333333333333 (+0.048); rate_spread_vs_month=-1.6432638500279793 (+0.040)
LN100688,2024-12,0.0076,1,1.0,credit_score_band=780+ (-0.687); state=OH (-0.062); loan_age_months=23 (+0.048); pct_term_elapsed=0.12777777777777777 (+0.048); rate_spread_vs_month=-0.5704601509530516 (-0.025)
LN100768,2024-08,0.0076,1,1.0,credit_score_band=780+ (-0.675); dti_band=20-35 (-0.071); interest_rate=4.15 (-0.058); log_original_balance=12.517227074167097 (+0.050); pct_term_elapsed=0.08888888888888889 (+0.049)
LN101212,2024-07,0.7692,1,1.0,is_delinq_now=1 (+0.999); credit_score_band=780+ (-0.300); state=TX (+0.119); dti_band=35-43 (+0.093); pct_term_elapsed=0.04722222222222222 (+0.084)
LN101430,2024-07,0.0076,1,1.0,credit_score_band=780+ (-0.608); loan_purpose=CASHOUT_REFI (-0.068); state=MI (-0.062); pct_term_elapsed=0.04722222222222222 (+0.048); loan_age_months=17 (+0.034)
LN101822,2024-09,0.7692,0,1.0,is_delinq_now=1 (+0.975); credit_score_band=780+ (-0.332); state=TX (+0.114); pct_term_elapsed=0.07222222222222222 (+0.114); dti_band=35-43 (+0.088)
LN101822,2024-12,0.7692,1,0.88,is_delinq_now=1 (+0.975); credit_score_band=780+ (-0.332); state=TX (+0.114); pct_term_elapsed=0.08055555555555556 (+0.114); dti_band=35-43 (+0.088)
LN102034,2024-12,0.0076,1,1.0,loan_age_months=0 (-0.201); credit_score_band=680-739 (+0.185); pct_term_elapsed=0.0 (-0.180); refi_incentive=-0.17901834862385346 (-0.102); interest_rate=6.419 (+0.031)
LN102107,2024-12,0.5764,0,1.0,is_delinq_now=1 (+0.802); credit_score_band=620-679 (+0.093); pct_term_elapsed=0.1 (+0.086); balance_ratio=0.9525229364005414 (+0.035); loan_age_months=36 (+0.031)
LN102215,2024-09,0.7692,1,0.73,is_delinq_now=1 (+1.002); credit_score_band=780+ (-0.301); pct_term_elapsed=0.12222222222222222 (+0.122); state=WA (+0.096); dti_band=35-43 (+0.088)
LN102230,2024-07,0.5764,0,1.0,is_delinq_now=1 (+1.008); credit_score_band=740-779 (-0.054); pct_term_elapsed=0.027777777777777776 (+0.051); interest_rate=6.211 (+0.033); dti_band=<=20 (-0.025)
