target,model,roc_auc,pr_auc,f1_best,precision@top10pct,recall@p90,brier,base_rate,brier_precal_heldout,macro_f1,logloss
next_3m_delinquency_flag,baseline_logreg,0.776,0.339,0.449,0.408,0.0,0.37829,0.0908,,,
next_3m_delinquency_flag,lightgbm_raw,0.8055,0.4678,0.5638,0.4688,0.0,0.07509,0.0908,,,
next_3m_delinquency_flag,lightgbm_calibrated(heldout),0.7882,0.4633,0.572,0.5074,0.0,0.06081,0.0979,0.0804,,
next_6m_delinquency_flag,baseline_logreg,0.7059,0.3138,0.3583,0.4095,0.0,0.42427,0.1391,,,
next_6m_delinquency_flag,lightgbm_raw,0.7488,0.429,0.4382,0.5211,0.0,0.1115,0.1391,,,
next_6m_delinquency_flag,lightgbm_calibrated(heldout),0.7217,0.4137,0.4508,0.5407,0.0,0.09911,0.1433,0.11491,,
next_12m_default_flag,baseline_logreg,0.7916,0.3133,0.4287,0.3273,0.0,0.46373,0.066,,,
next_12m_default_flag,lightgbm_raw,0.7866,0.3466,0.4859,0.3167,0.0,0.05816,0.066,,,
next_12m_default_flag,lightgbm_calibrated(heldout),0.7905,0.3481,0.4887,0.3192,0.0246,0.04739,0.0656,0.0579,,
next_12m_prepayment_flag,baseline_logreg,0.6604,0.1062,0.1873,0.1222,0.0,0.26395,0.0678,,,
next_12m_prepayment_flag,lightgbm_raw,0.581,0.0861,0.1663,0.0905,0.0,0.06292,0.0678,,,
next_12m_prepayment_flag,lightgbm_calibrated(heldout),0.607,0.0946,0.175,0.0908,0.0,0.0666,0.0724,0.06675,,
next_state,lightgbm_multiclass,,,,,,,,,0.5816,0.1803
