loan_id,reporting_month,trust_score,trust_band,rule_violation_score,n_rules_fired,rules_fired,n_conflicts,balance_conflict,status_conflict,rate_conflict
LN100000,2021-10,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100000,2021-11,0.73,MEDIUM,1.0,1,R006,0.0,False,False,False
LN100000,2021-12,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100000,2022-01,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100000,2022-02,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100000,2022-03,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100000,2022-04,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100000,2022-05,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100000,2022-06,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100000,2022-07,0.64,MEDIUM,3.0,1,R004,0.0,False,False,False
LN100000,2022-08,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100000,2022-09,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100000,2022-10,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100000,2022-11,0.88,HIGH,1.0,1,R007,0.0,False,False,False
LN100000,2022-12,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100000,2023-01,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100000,2023-02,0.64,MEDIUM,3.0,1,R001,0.0,False,False,False
LN100000,2023-03,0.75,MEDIUM,0.0,0,,1.0,True,False,False
LN100000,2023-04,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100000,2023-05,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100000,2023-06,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100000,2023-07,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100000,2023-08,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100000,2023-09,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100000,2023-10,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100000,2023-11,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100000,2023-12,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100000,2024-01,0.88,HIGH,1.0,1,R007,0.0,False,False,False
LN100000,2024-02,0.65,MEDIUM,0.0,0,,1.0,True,False,True
LN100000,2024-03,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100000,2024-04,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100000,2024-05,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100000,2024-06,0.37,LOW,4.0,2,"R003,R006",0.0,False,False,False
LN100001,2024-03,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100001,2024-04,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100001,2024-05,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100001,2024-06,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100001,2024-07,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100001,2024-08,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100001,2024-09,0.88,HIGH,1.0,1,R007,0.0,False,False,False
LN100001,2024-10,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100001,2024-11,0.88,HIGH,1.0,1,R007,0.0,False,False,False
LN100001,2024-12,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100001,2025-01,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100001,2025-02,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100001,2025-03,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100001,2025-04,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100001,2025-05,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100001,2025-06,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100002,2023-10,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100002,2023-11,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100002,2023-12,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100002,2024-01,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100002,2024-02,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100002,2024-03,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100002,2024-04,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100002,2024-05,0.5,LOW,0.0,0,,1.0,True,True,True
LN100002,2024-06,0.88,HIGH,1.0,1,R007,0.0,False,False,False
LN100002,2024-07,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100002,2024-08,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100002,2024-09,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100002,2024-10,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100002,2024-11,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100002,2024-12,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100002,2025-01,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100002,2025-02,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100002,2025-03,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100002,2025-04,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100002,2025-05,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100002,2025-06,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100003,2023-01,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100003,2023-02,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100003,2023-03,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100003,2023-04,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100003,2023-05,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100003,2023-06,1.0,HIGH,0.0,0,,0.0,False,False,False
LN100003,2023-07,1.0,HIGH,0.0,0,,0.0,False,False,False
