mean_pred,obs_rate,n,target
0.010607484171571221,0.020278099652375436,1726,next_3m_delinquency_flag
0.02645504010285656,0.051371185786017765,2589,next_3m_delinquency_flag
0.029596404924523055,0.025547445255474453,1370,next_3m_delinquency_flag
0.051797610362555126,0.0545790934320074,2162,next_3m_delinquency_flag
0.0675759454432734,0.05660377358490566,2332,next_3m_delinquency_flag
0.07966616084977238,0.07653061224489796,1176,next_3m_delinquency_flag
0.12364781409020008,0.1160275319567355,1017,next_3m_delinquency_flag
0.5808507118645037,0.575021682567216,1153,next_3m_delinquency_flag
0.022443500986689416,0.036905606813342796,1409,next_6m_delinquency_flag
0.053332915134675474,0.08523206751054853,2370,next_6m_delinquency_flag
0.06582497613204073,0.07423580786026202,458,next_6m_delinquency_flag
0.07595419253450342,0.07807807807807808,1332,next_6m_delinquency_flag
0.10235612205484743,0.1120303343674595,2901,next_6m_delinquency_flag
0.131626461818965,0.1349380014587892,1371,next_6m_delinquency_flag
0.1828270279849072,0.12093411175979983,1199,next_6m_delinquency_flag
0.24714828897338403,0.13953488372093023,1161,next_6m_delinquency_flag
0.5736564194334117,0.5506042296072508,1324,next_6m_delinquency_flag
0.007436264616009111,0.0103397341211226,1354,next_12m_default_flag
0.014705882352941176,0.019736842105263157,152,next_12m_default_flag
0.025686785526518166,0.030160226201696512,1061,next_12m_default_flag
0.04485488126649077,0.04070066975785677,1941,next_12m_default_flag
0.050724637681159424,0.032119914346895075,467,next_12m_default_flag
0.06413301662707839,0.0732196589769308,997,next_12m_default_flag
0.09492273730684327,0.07422680412371134,485,next_12m_default_flag
0.4893429841061226,0.519893899204244,377,next_12m_default_flag
0.03438881520778072,0.03987068965517242,928,next_12m_prepayment_flag
0.04353741496598639,0.025423728813559324,708,next_12m_prepayment_flag
0.05752212389380531,0.07190770056345586,3727,next_12m_prepayment_flag
0.0994550408719346,0.11740331491712708,1448,next_12m_prepayment_flag
0.13636363636363635,0.08695652173913043,23,next_12m_prepayment_flag
