scenario,segment,value,cum_default_12m,cum_prepay_12m,n_loans
base,credit_score_band,620-679,0.137425345568956,0.09062133976277552,425
base,credit_score_band,680-739,0.07653577031758597,0.07674147016357714,590
base,credit_score_band,740-779,0.05971828413982022,0.06446104889483524,544
base,credit_score_band,780+,0.038517577868676066,0.0631383850096969,352
base,credit_score_band,<620,0.12978155295314636,0.09366305089388437,176
base,state,AZ,0.07816984880026073,0.08919367941236611,126
base,state,CA,0.09844145997469995,0.08400169530614426,333
base,state,FL,0.09212442878657157,0.06335652038894675,200
base,state,GA,0.10708691777671553,0.08062776904530287,158
base,state,IL,0.047002702726275505,0.07310198132505634,156
base,state,MI,0.0861154351141461,0.07376915980194398,129
base,state,NC,0.07842403817818049,0.062291285628818936,141
base,state,NY,0.07292954737139117,0.07338552922187618,176
base,state,OH,0.07406628429144663,0.06610406304969257,140
base,state,PA,0.08086205013799959,0.08593134128377564,155
base,state,TX,0.08561514010050021,0.07058846398215683,235
base,state,WA,0.06605927389859807,0.08090598018654915,138
base,servicer_name,AlphaServ,0.08513753059056053,0.08107892076436637,592
base,servicer_name,BetaLoan,0.07922955990297137,0.06536384947118026,524
base,servicer_name,CasaMortgage,0.07291876383202212,0.08160151921930876,417
base,servicer_name,DeltaHome,0.09762204918316518,0.07983967493589726,327
base,servicer_name,EagleTrust,0.08018115222975729,0.066885332340634,227
base,vintage,2021,0.12178454233569588,0.07024801450930408,281
base,vintage,2022,0.11107457355040115,0.05673226857353968,628
base,vintage,2023,0.07363719426094156,0.08020241457281242,734
base,vintage,2024,0.03248282541049191,0.09759375413845893,444
adverse_credit,credit_score_band,620-679,0.2339685102128423,0.05900473146606472,425
adverse_credit,credit_score_band,680-739,0.14150095160537246,0.05159628658097269,590
adverse_credit,credit_score_band,740-779,0.11864858343838351,0.04328610024988622,544
adverse_credit,credit_score_band,780+,0.07673317043557538,0.04360288952682572,352
adverse_credit,credit_score_band,<620,0.21897901584971768,0.06111633588312868,176
adverse_credit,state,AZ,0.15556649720161092,0.05896712919805245,126
adverse_credit,state,CA,0.1781123721629847,0.05550283669024848,333
adverse_credit,state,FL,0.16141026479103673,0.04171098831055549,200
adverse_credit,state,GA,0.1811981084980219,0.053814961539452276,158
adverse_credit,state,IL,0.09982050652268874,0.04981596361383554,156
adverse_credit,state,MI,0.15310075000001422,0.049014768829864455,129
adverse_credit,state,NC,0.14057621147844168,0.04143109901904297,141
adverse_credit,state,NY,0.13139066484044737,0.04943579502022304,176
adverse_credit,state,OH,0.13493420489856023,0.04384292224061225,140
adverse_credit,state,PA,0.149255176899641,0.057863449362069545,155
adverse_credit,state,TX,0.14794871330266487,0.047540889370657015,235
adverse_credit,state,WA,0.13139094531246534,0.05433516727206388,138
adverse_credit,servicer_name,AlphaServ,0.15261963110316973,0.05418266857892473,592
adverse_credit,servicer_name,BetaLoan,0.1493988998851313,0.04324012207148765,524
adverse_credit,servicer_name,CasaMortgage,0.13943368304969223,0.054618585511905814,417
adverse_credit,servicer_name,DeltaHome,0.16724819782012093,0.05322357352300538,327
adverse_credit,servicer_name,EagleTrust,0.13897594180261993,0.0451855870308033,227
adverse_credit,vintage,2021,0.20902925968438008,0.045815551899864686,281
adverse_credit,vintage,2022,0.19534780052022288,0.036240280042664684,628
adverse_credit,vintage,2023,0.1376276055274919,0.054049705993218046,734
adverse_credit,vintage,2024,0.06888082726529587,0.06726486615086792,444
high_prepayment,credit_score_band,620-679,0.11662442368865052,0.1827928865350761,425
high_prepayment,credit_score_band,680-739,0.06408446706080285,0.1558572991360571,590
high_prepayment,credit_score_band,740-779,0.04894663769126018,0.13430144683397666,544
high_prepayment,credit_score_band,780+,0.03157256210369949,0.1287782948513789,352
high_prepayment,credit_score_band,<620,0.11026978084994252,0.18762903618834284,176
high_prepayment,state,AZ,0.06282161571884544,0.18004182362315505,126
high_prepayment,state,CA,0.08221398390978178,0.17016384840156273,333
high_prepayment,state,FL,0.07851195061262771,0.13149163416751125,200
high_prepayment,state,GA,0.09168522671283649,0.1607229664873531,158
high_prepayment,state,IL,0.0374447284818189,0.14816877787971897,156
high_prepayment,state,MI,0.07257017824575378,0.15183934557127537,129
high_prepayment,state,NC,0.06628672771890262,0.13029154797807876,141
high_prepayment,state,NY,0.061426972741140444,0.14975134879287494,176
high_prepayment,state,OH,0.06213384586179423,0.13712157049285334,140
high_prepayment,state,PA,0.06696545859941622,0.17308718538605994,155
high_prepayment,state,TX,0.07315993279288438,0.1439503562168731,235
high_prepayment,state,WA,0.05369781524957773,0.1647118534367129,138
high_prepayment,servicer_name,AlphaServ,0.0714728817621871,0.1644463145324298,592
high_prepayment,servicer_name,BetaLoan,0.06559415019727018,0.13495650506845874,524
high_prepayment,servicer_name,CasaMortgage,0.06007896726024025,0.16610864345117846,417
high_prepayment,servicer_name,DeltaHome,0.08322231184370643,0.16153688834647736,327
high_prepayment,servicer_name,EagleTrust,0.06860486255811134,0.13610637372109138,227
high_prepayment,vintage,2021,0.10386472103232754,0.14394340576266887,281
high_prepayment,vintage,2022,0.0941285782636312,0.11958662425157787,628
high_prepayment,vintage,2023,0.061096476324153534,0.1616911092685866,734
high_prepayment,vintage,2024,0.025629870374132127,0.195553309121069,444
