feature,mean_abs_shap
credit_score_band,0.2508728126289249
pct_term_elapsed,0.07371509534627299
loan_age_months,0.07285784504471045
interest_rate,0.06666533623256096
is_delinq_now,0.05515100454624092
log_original_balance,0.05382307784496993
rate_spread_vs_month,0.046826783830405824
loan_purpose,0.03522976287855585
ltv_band,0.028292107656673504
state,0.021852026191035927
dti_band,0.014659760157691118
balance_ratio,0.010144632361532561
occupancy_type,0.009739572921395092
refi_incentive,0.008301094632977454
refi_incentive_pos,0.002742880426157934
property_type,0.0
n_rules_fired,0.0
servicer_name,0.0
trust_score,0.0
document_status,0.0
source_system,0.0
current_status,0.0
prev_status_ord,0.0
status_worsened,0.0
ever_delinquent,0.0
n_delinq_last_12m,0.0
n_delinq_last_6m,0.0
status_ord,0.0
modification_flag,0.0
days_past_due,0.0
n_conflicts,0.0
